name,stars,comment
هَری پاتِر,5,"سلام، میخوام در مورد این کتاب با شما صحبت کنم، لطفاً برای دقایقی با من همراه بشید⁦:)
✅این دقیقا همان کتابی است که باید برای فرار به دنیای دیگر انتخاب کنید. همه چیز از حسرت شروع میشه، هر بار که حسرت چیزی یا کاری رو میخوری، یک زندگی دیگه از تو در جهان موازی شروع میشه. وقتی که پا روی علاقه قلبیت میزاری و به اونی که دوستش داری، پیشنهادی که باید بدی رو نمی‌دی، یک نسخه دیگه از تو در جهان موازی، اون پیشنهاد رو میده و همه چیز یه جور دیگه براش اتفاق می افته. کی میدونه که آخر توی کدوم نسخه از زندگی خوشحال تری؟ اگه یک فیزیکدان بخواد در مورد تئوری جهان های موازی بهت توضیح بده، خیلی بعید هست که چیزی سر در بیاری، اما مت هیگ با رمان کتابخانه نیمه شب خیلی زیبا این تئوری رو به تصویر کشیده.
📢💭 از اینجا به بعد میخوام یه خلاصه از داستان و در آخر، نظر کلی خودم راجع به کتاب رو بگم پس اگه خیلی حساسی که هیچ دید کلی از داستان نداشته باشی، ادامه متن رو نخون (:
""نورا سید"" شخصیت اصلی داستانه که قراره به جای خواننده به حسرت هاش نگاه کنه و به زندگی های موازی خودش سر بزنه و یه مدت اون زندگی ها رو تجربه کنه، بعد تصمیم بگیره که آیا این زندگی ارزش اون حسرت رو داره یا نه. نورا در کتابخانه ای با یک کتاب‌دار بسیار دانا به نام ""الم"" آشنا می‌شود. کتاب‌دار به نورا می‌گوید که یک انسان در طول زندگی‌ میلیون‌ها تصمیم می‌گیرد و تمام تصمیم‌ها، هرچند جزئی، قدرت این را دارند که مسیر زندگی او را کامل تغییر دهند. در ادامه داستان، کتاب‌دار به نورا درباره ماهیت کتاب‌ها می‌گوید و نورا می‌فهمد تمام کتاب‌ها در واقع درهایی به زندگی‌های دیگر خود او هستند. زندگی‌هایی که نورا می‌تواست داشته باشد اگر تصمیم‌های متفاوتی می‌گرفت.کتاب‌دار در ادامه توضیحاتش می‌گوید تنها یک کتاب است که با سایر کتاب‌ها متفاوت است. این کتاب جلدی بسیار سنگین دارد و خواندن بیش‌تر از چند خط آن می‌تواند برای نورا بسیار خطرناک باشد. کتاب حسرت‌ها!
در ابتدا نورا علاقه‌ای به امتحان کردن زندگی‌های دیگر ندارد و احتمالاً این زندگی دقیقاً همان چیزی است که نورا از آن یک نسخه دیگر نمی‌خواهد. ولی کتاب‌دار در آخر موفق می‌شود نورا را راضی کند و به او اطمینان می‌دهد که این‌کار بی‌ضرر است چون اگر زندگی ایده‌الش را پیدا کند می‌تواند همان را ادامه دهد و در غیر این صورت هم، هرلحظه‌ که از زندگی‌ جدیدش احساس نارضایتی کرد میتواند فوراً به کتابخانه برگردد.‌
کتاب‌دار به نورا هشدار می‌دهد که انتخاب‌های متفاوت لزوماً پیامدهایی که او انتظار دارد را ندارند و یا بهتر بگوییم، سنخیت صددرصدی میان یک انتخاب‌ و نتیجه آن وجود ندارد. نورا به هر زندگی جدیدی که وارد می‌شود یکی از بزرگ‌ترین حسرت‌های خود را ندارد. اما برخلاف انتظارات نورا نداشتن یک‌سری از حسرت‌ها به نتایج خوبی بدل نمی‌شود و اتفاقاً برعکس باعث اتفاقات بدتری هم می‌شود.تا به‌حال شده بدون هیچ دلیلی احساس دلشوره و نگرانی کنید؟ این دقیقاً همان حسی است که نورا وقتی وارد یک زندگی جدید می‌شود دارد. چراکه هیچ خاطره‌ای از زندگی جدیدی که تجربه می‌کند ندارد و فقط زندگی اصلی خودش را به‌یاد می‌آورد و همه چیز را با آن مقایسه می‌کند. نورا در هر زندگی جدید مجبور است درباره خودش در شبکه‌های مجازی بخواند یا در گوگل سرچ کند تا بفهمد کیست! بی‌معنا بودن زندگی مفهوم دیگری‌ست که در این کتاب به آن اشاره شده و البته نویسنده به خوبی توانسته نقش انسان را در معنابخشی به آن نشان دهد. نورا در جهان میانی، نه به همسرش برمی‌خورد، نه به برادرش و نه اعضای گروهی که قرار بود به‌همراه آن‌ها خواننده‌ی معروفی شود. در این ماجرا و در تمام این سال‌ها فقط یک نفر بوده که واقعاً به نورا ایمان داشته و حالا هم همان زن قرار است راهنمایی‌اش کند و از این مهلکه نجاتش دهد؛ خانم الم. نورا در کتابخانه‌ی نیمه‌شب به وضعیتی برمی‌خورد که باید احتمالات مختلف زندگی‌اش را تجربه کند؛ تمام دوراهی‌هایی که در انتخاب تصمیمش دوبه‌شک بوده و بعداً حسرتشان را خورده، حالا تبدیل به فرصتی دوباره می‌شوند تا قبل از این‌که در حقیقتِ قاطع مرگ حل شود، بتواند آخرین امیدش را امتحان کند.
بنظر من پیام کتاب اینه که:1️⃣شما هیچ‌وقت نمی‌توانید صد درصد از زندگی‌تان راضی باشید و حتما لازم نیست زندگی را درک کنید، شما فقط باید در حال زندگی کنید؛ فقط کافی است خودمان باشیم (نورا هیچگاه وقت نمی گذارد تا واقعاً احساس خود یا آنچه که واقعاً می‌خواهد را در نظر بگیرد.این عادت مانع خوشبختی خودش می شود.) برای همه‌چیز بودن لازم نیست همه‌چیز را تجربه کنیم، چون همین حالا هم بی‌پایان هستیم.2️⃣اگر کسی در مسیر رؤیاهایش با اطمینان قدم بردارد و برای داشتن آن زندگی‌ای تلاش کند که در تصوراتش آورده، در طول زندگی به موفقیتی غیرمنتظره خواهد رسید و بخشی از این موفقیت حاصل تنهایی است. هرگز همراهی ندیدم که به‌اندازه تنهایی بتواند با انسان همراه شود.3️⃣ما نباید تفاوتی که در زندگی دیگران ایجاد می کنیم را دست کم بگیریم، بزرگ یا کوچک، همه چیز مهم است.
📌با وجود اینکه کتابخانه در جای خالی زندگی و مرگ نشسته است، چیزی امن و دنج در این کتاب وجود دارد؛ این جدیدترین کتاب مورد علاقه منه و اکنون به نوعی به آن وابسته شدم؛ اما این موضوع باعث خوشحالی من میشه، چون که به محض رسیدن به آخرین صفحه آماده شدم تا داستان را دوباره از نو شروع کنم..."
آنارا,5,من از سالی که آغاز شد تا به الان که به پایان اردیبهشت نزدیک شده شروع به خواندن کتابی نکرده بودم و حالم تو این دوران چندان خوب نبود تا این که این کتاب رو تو صفحه‌ی اصلی طاقچه دیدم و نظرم جلب شد وقتی شروع به خوندن کتاب کردم کمتر از سه روز تموم شد ولی اون دیالوگ ها و اتفاقات هنوز همراه من هستند... من سالهاست هیچ رمانی نخوندم یا به پایان نرسوندم و فقط در حوزه روانشناسی یا کاری مطالعه میکردم ولی انقدر این کتاب از نویسنده محبوبم به دلم نشست که حد نداره این کتاب درباره حسرت ها و انتظاراتی که هر روز با خودمون حمل میکنیم ای کاش های سالهای زیاد و تسلیم هایی که برای زندگی و زنده بودن اتفاق میفته میگه کتابی بسیار زیبا و روان که برای این روزهای من بهترین بود.
نَعنا🌿,3,"برخلاف تعریف های خیلی زیادی که از این کتاب شده، من با کمی سختی تمومش کردم، به قدری جذاب نیست که انسان رو میخکوب کنه و البته انقدر سست نیست که پیش نره ولی خب خوشحالم که تا انتها خوندم چون پایان بندی خوبی داشت.
موضوع کتاب جدیده و با مفاهیم فلسفی و روان شناسی، سعی میکنه نظر اکثریت رو جلب کنه که ظاهرا در این کار موفق بوده.
.
در کل یه کتاب انگیزشیه و اگه جزئی نگاه کنیم بخش هایی از کتاب دارای مطالبیه که کاملا با اصول انسانی، فطری و اخلاقی در تضاده و این موارد، کتاب رو زیر سوال میبره."
Mohammad,4,"(۴-۲۷-[۶۸])
من فکر میکنم سبک و سیاق این کتاب تا حدودی به کتابای یوستین گردر نزدیکه؛ (البته قابل قیاس نیستن) نویسنده سعی کرده تا یک سری مفاهیم پیچیده ی علمی، فلسفی و روانشناختی رو ساده سازی کنه و در قالب داستان ارائه بده و تا حدودی هم در این زمینه موفق عمل کرده؛ او با نگاهِ خوشبینانه ای که به زندگی داره؛ با ترکیبِ تئوری دنیاهای موازی و بخشی از دیدگاه های فلاسفه ی هستی گرا همچون سارتر، کامو، کی یرکگور و تجربه گرا مثل جان لاک، هیوم و بعضی از فلاسفه ی دیگه و بیشتر تحت تاثیر اندیشه های دیوید ثورو - که بارها از اون نام میبره و تاکید زیادی هم میکنه - میخواد این پیام رو به خواننده منتقل کنه که خوشبختی در ساده زیستن تجلی پیدا میکنه و این یک امر درونیه که با تجربه و انتخاب های کوچک بدست میاد، پس نباید حسرت خیلی چیزها رو خورد؛ در واقع این انتخاب های ماست که ماهیت ما رو تعریف میکنه و به زندگیمون معنی میده، ما با هر انتخابی که می کنیم برای همه دست به انتخاب میزنیم پس باید سعی کنیم بهترین انتخاب ها رو انجام بدیم چون با انتخاب هامون در برابر خودمون و بقیه انسان ها مسئولیم. به نظرم نویسنده همون اواسطِ داستان پیامش رو به خوبی رسونده بود و در ادامه زیادی موضوع رو کش داد؛ به هر صورت قبل از خواندن کتاب فکر میکردم احتمالا یه شاهکار ادبی باید باشه، اما چیز جدیدی برام نداشت ولی خب در نوع خودش خوبه، ایده ی جالب و سرگرم کننده ای داره؛ جمع بندی و پایانش هم خوب و قابل قبوله."
Pascal,5,"این کتاب درس های زیادی به ما میده.یکی اینه که چقدر میتونیم تو سرنوشت آدمای دیگه و خودمون نقش داشته باشیم.حتی با کارهای کوچیک که انجام میدیم.این داستان خانمیه که افسردگی داره و قصد خود کشی هم داره ولی بعد دیدش به زندگی عوض میشه و داستان رو طوری نوشته که آدم خسته نمیشه.خودم دوشبه تمومش کردم و از این که تموم شد حس ...
هم ناراحتم از این که تموم شد هم خوش حال
ادمیم که خیلی از زندگی فاصله گرفته ولی بعد از تموم کردن این کتاب حس میکنم دنیا ارزش این و داره که بهش توجه کنم."
farez,4,"شاید زمانیکه این کتاب رو خوندم، حس کردم اونقدرها که ازش تعریف و تمجید کردن یک اثر فوق العاده نبود....میتونستم حدس بزنم قراره چی بشه، چون بارها بصورت فطری، از خودم پرسیدم نسخه ی دیگری از من در یک جهان متفاوت از حالا چه میکرد...و هربار خیلی منطقی به این نتیجه رسیدم که آنِ من، بهترین ورژن از خودمه که میتونم به پاش بایستم و ازش لذت ببرم...این کتاب از ابتدا مشخص بود چه نتیجه ای میخواد بگیره.پس من رو شگفت زده نکرد...منتها گامهای رسیدنش به اون مقصود معین، کاملا هنرمندانه چیده شده بود.درک بالای نویسنده از عواطف مختلف...از نقشهای گوناگون...این منو شگفت زده کرد.""فقط قدرت نویسندگی نویسنده""، نه خود کتاب و نه موضوعش که تکراری بود و نه حتی شیوه ی روایت داستان که گَپ خیلی بزرگی توش بود...
و اما اون گپ بزرگ(خطر اسپویل): اینکه نورا با احساسات و عواطف و منویات درونی خودش وارد هر زندگی میشد،نه با احساسات اون نورای درون اون زندگی...مشخص بود از اون زندگی حس رضایتی نخواهد داشت. کسی که چهل سال بدون ازدواج و فرزند یا هر چیز دیگری عمرشو سپری کرده، به یکباره قرار بگیره دراین زندگی پر واضحه که خوشش نخواهد آمد! هر نقشی، هر حسی یک تاریخچه در عقبه اش داره.
نویسنده باید این مورد رو در نظر میگرفت که اگر با حس همون نورایِ اون زندگی بخصوص، اجازه ی تجربه ی همون کتاب زندگی بهش داده میشد، باز هم دلش میخواست اون زندگی رو ترک کنه یا نه...؟!باز هم دوست داشت برگرده به زندگی خاموش خودش...؟
در نهایت کتاب انگیزشی و نسبتا خوبی بود، از اونهایی که در آخرش با خوندن کلمات انتهایی حس میکنی تحت تاثیرقرار گرفتی! البته به فراخور اینکه چقدر قبلا درمورد موضوعش فکرکرده باشی میتونه این تاثیر زیاد، و یا مثل من کم باشه...."
گمنام,1,"یک داستان قدیمی بود که مردی کوه کن وقتی خورشید بهش میتابد آرزو میکند خورشید بود
بعد ابر جلوی خورشید رو میگیرد و آرزو میکند ابر بود
بعد باد ابرها را جابجا میکند و مرد آرزو میکند باد باشد چون باد قوی تر است بعد باد به کوه برخورد میکند .و ارزو میکند کوه باشد و بعد میبند کوه کن دارد کوه را تراش میدهد آرزو میکند همان کوه کن باشد
حالا این کتاب فانتزی همون داستان قدیمی ایرانی خودمون هست"
اَمَل,3,"ایده ی داستان خیلی جالب بود. این که جایی بین مرگ و زندگی بهمان این فرصت را بدهند که تمام حالات ممکن زندگی مان را تجربه کنید. و خوب ربطش داده به فیزیک کوانتوم و نظریه ی جهان های موازی. احساس می کردم دارم چند تا داستان ""تاریخ جایگزین"" در یک کتاب می خوانم و من هم به شدت این ژانر را دوست دارم:)
ولی شبیه کتاب ""مغازه ی خودکشی"" مرتب با خودم می گفتم کاش این ایده را نویسنده ی توانا تری می نوشت. کسی که می توانست بهتر داستان پردازی کند و پیرنگ بچیند. یا کاش چند سال دیگر نویسنده برگردد و داستان را بهتر بازنویسی کند. داستان پردازی اش بیشتر به فیلم های کمی تا قسمتی زرد هالیوودی شبیه بود و واقعا یک جاهایی دیالوگ های شعاری شخصیت ها دل آدم را می زد. انگار نویسنده یادش می رفت که دارد داستان می نویسد نه یک مقاله یا متن یک سخنرانی تد!
پایان داستان هم (که حواسم هست لویش ندهم) به نظر من یکی از دو پایان منطقی ای بود که این داستان می توانست داشته باشد. فقط کاش این همه به جملات شعاری آغشته نشده بود..."
دختر پاييزي,0,کتاب خیلی خوبی بود.من که از خوندنش لذت بردم به همه پیشنهادش میکنم از قضا اگه از زندگی ناامید و خسته هستید.
دختر خوانده پروفسور اسنیپ فقید 🐍💚,5,چه قدر این کتاب حس خوب داشت. مخصوصا اینکه همه ی ما بخش زیادی از روزمون رو درحال حسرت خوردن ایم و عمیقا فکر میکنیم اگر فلان کار رو کرده بودیم، الان جای بهتری بودیم اما این کتاب با یک بیان خیلی خیلی ساده به ما گفت حسرت خوردن ها چه جوری روی زندگی ما تاثیر میذاره و مانع از زندگی کردن میشه. نتیجه گیریش جزو بهترین نتیجه گیری هایی بود که تو زندگیم دیدم. ممنون از قرار دادن این کتاب در طاقچه و با تشکر از انتشارات کوله پشتی که به جرأت میتونم بگم هر کتابی ازشون خوندم، فوق العاده بوده.
