name,date,stars,comment
MHMonica HongUS•1 review,11 minutes ago,0,"Very niceIt’s nice  very nice. August 19, 2025"
BBBarbara BrownUS•1 review,20 minutes ago,0,"Your site makes it easy to recycle the…Your site makes it easy to recycle the items that doesn't work well for each of us  and to return it and continue shopping. For what works better for us.August 19, 2025"
GOGottiRunItUpUS•1 review,21 minutes ago,0,"Come ShopGreat place to shop with great prices and nice quality clothing, always been my primary place to get my clothes August 19, 2025"
SSsallay savaneAU•1 review,25 minutes ago,0,"The company is selling quality products.Always get what I order is a great experience to share.August 19, 2025"
ZJZJUS•1 review,An hour ago,0,"Love itI always love ordering from here they process orders fast and I love most items. Thank youAugust 19, 2025"
TETeeeeUS•1 review,An hour ago,0,"Love Fashion NovaLove Fashion Nova! They are the best my go to August 19, 2025"
FNFashion NovaUS•1 review,2 hours ago,0,"Bombbbbbb ass mf clothing tffffffAugust 18, 2025"
KRKimberly RyanUS•1 review,2 hours ago,0,"Not happy that while I was Checking out…Not happy that while I was Checking out the price changed and increased on one of my items even though I put it in my cart at a lower price.  Thats a trick move that Fashion Nova pulled!!! I will yelp and give a review of my experience!August 18, 2025"
FNFashion NovaUS•1 review,2 hours ago,0,"While checking out price was increasedWhile checking out price was increased August 19, 2025"
EBErika BeeUS•2 reviews,3 hours ago,0,"Great fashionsGreat fashions August 18, 2025"
ELElizabethUS•1 review,3 hours ago,0,"Excelent  good service and fastAugust 19, 2025"
EDElainny DuranUS•1 review,3 hours ago,0,"I loved itI loved it, it was so easy to place my first order and I love the variety.August 19, 2025"
FNFashion NovaUS•1 review,4 hours ago,0,"Great Clothes!August 18, 2025"
JJJustine JacksonUS•1 review,5 hours ago,0,"Everything thing I order is in good…Everything thing I order is in good quality. Last year Everything i ordered fit great. This yr i gaind alot of weight and had to send back outfits which was very easy. Easier than going into a store and going thru customer service. I have only returned do to size never because the outfit wasn't quality made or beautiful plus the fact they take after pay and klarna is amazing. April 4, 2025"
SSShinault SuzzUS•1 review,5 hours ago,0,"A lot of good stuffA lot of good stuff August 19, 2025"
MKMickalia KingtonJM•1 review,5 hours ago,0,"Very goodVery good. Very easy to navigate.August 18, 2025"
VCValerie ChandlerUS•11 reviews,6 hours ago,0,"Fashion Nova has great deals on trendy…Fashion Nova has great deals on trendy and office attire.  Make sure to check product details and reviews to determine the quality. I've been very satisfied with my purchases. However, the delivery service is not always pleasant. They use Doordash and sometimes there are delays.  August 17, 2025Unprompted review"
CAClaudia AlonzoUS•1 review,6 hours ago,0,"I love all clothes now fashion nova…I love all clothes now fashion nova it's my favorite 😍 August 17, 2025"
RYRyanHTT•1 review,6 hours ago,0,"Really Love Fashion NovaAugust 18, 2025"
LELeilaUS•1 review,6 hours ago,0,"It was great and easyIt was great and easy August 18, 2025"
DRDredayUS•1 review,7 hours ago,0,"Great serviceService was great selection was coolAugust 13, 2025"
TWTina WaltonUS•3 reviews,7 hours ago,0,"The fact that you can’t get your cash…The fact that you can’t get your cash back just credit !  So you obligated to buy more even if you are not interested August 12, 2025"
FNFashion NovaUS•1 review,7 hours ago,0,"God qualityGod quality August 15, 2025"
TETemmyCA•2 reviews,7 hours ago,0,"Fast and smooth delivery.August 13, 2025"
FNFashion NovaMX•1 review,7 hours ago,0,"Reliable pageI’d rather buy in this page for the great variety of outfits, is just insane the quality and the images are exactly the same as the clothes I receive in every order, so in love with June 9, 2025"
MHMarisol HernandezUS•1 review,8 hours ago,0,"Good prices and fashionable stylesAugust 18, 2025"
FNFashion NovaUS•1 review,8 hours ago,0,"I love the deals often and the fits are…I love the deals often and the fits are cuteAugust 18, 2025"
JBJohan britoUS•1 review,8 hours ago,0,"Quality for the clothesAugust 18, 2025"
CRCamai RayUS•1 review,8 hours ago,0,"Love it  I will always supportLove it  I will always support August 18, 2025"
SRSophia ReneUS•1 review,9 hours ago,0,"I like shopping on fashion Nova 🥰August 18, 2025"
FNFashion NovaUS•1 review,9 hours ago,0,"I like that allAugust 18, 2025"
MJMauriana JoseyUS•1 review,9 hours ago,0,"My last order I ordered my right size…My last order I ordered my right size 11 jeans and I was sent a kid pair August 18, 2025"
FNFashion NovaUS•1 review,9 hours ago,0,"Love fashion nova ❤️‍🔥❤️‍🔥August 18, 2025"
DBDarranie BrinsonUS•1 review,9 hours ago,0,"Easy shipping and great materialEasy shipping and great material August 18, 2025"
INImelda NavarroUS•1 review,9 hours ago,0,"Great clothing love it😍August 18, 2025"
FNFashion NovaCA•1 review,10 hours ago,0,"Beautiful everything everything…Beautiful everything everything everything everything everything everything August 18, 2025"
