name,date,stars,comment
JJJazaline JuarezUS•1 review,25 minutes ago,0,"Two months ago was my birthday and I…Two months ago was my birthday and I put in my birthday three times. I still never got a surprise. Still like fashion nova but that suckedDate of experience: August 12, 2025"
CJCaitlyn Johnson-LopezUS•1 review,An hour ago,0,"Fast shipping!Date of experience: August 12, 2025"
LJLakeisha JordanUS•1 review,An hour ago,0,"Great deals for good qualityGreat deals for good quality. Easy to shop on your appDate of experience: August 12, 2025"
IGIsabella GuzmanUS•1 review,An hour ago,0,"The best app for clothesThe best app for clothes Date of experience: August 12, 2025"
FNFashion NovaUS•1 review,1 hours ago,0,"I'm never able to redeem any of my…I'm never able to redeem any of my discounts to help me save Money. Although it's telling me I can. But as soon as I type it in...it says expired😡🤬Date of experience: August 12, 2025"
AOAlice OnyangoAE•1 review,3 hours ago,0,"The best experiences ever  All the way…The best experiences ever  All the way from DubaiDate of experience: August 12, 2025"
SDStephanie DavisUS•1 review,4 hours ago,0,"Always easy to navigateAlways easy to navigate, the best fashion at a reasonable price Date of experience: August 12, 2025"
AEAndrea EllisUS•1 review,4 hours ago,0,"Always have what I need and wantAlways have what I need and want Date of experience: August 12, 2025"
BHBray HUS•1 review,4 hours ago,0,"I would like an original payment for a…I would like an original payment for a refund If I decide to do a return Date of experience: August 12, 2025"
JSJamya SumneingUS•1 review,5 hours ago,0,"Best fast shippingBest fast shipping Date of experience: August 12, 2025"
CMCassandra MarieUS•1 review,5 hours ago,0,"I love fashion nova because the deals…I love fashion nova because the deals are good the quality of clothes are amazing and it’s the only brand that fits me as a plus sized woman the best! I’ve made over 5+ orders over the pass couple of years and I absolutely love ya!Date of experience: August 12, 2025"
VRVictoria RuedaUS•1 review,5 hours ago,0,"Shopping w/ Fashion NovaI love shopping from Fashion Nova, anytime I need an outfit for an event/concert/etc I go to your app on my phone first! I also love your payment options 🙂Date of experience: August 07, 2025"
FNFashion NovaUS•1 review,6 hours ago,0,"Checkout made easy!Checkout made easy! Date of experience: August 12, 2025"
RMRachelle MUS•1 review,6 hours ago,0,"Always affordable and helps my…Always affordable and helps my confidence, I appreciate ya’ll Date of experience: August 11, 2025"
JYJadelin YabutUS•1 review,6 hours ago,0,"Easy to shop & easy check out process.Easy to shop & easy check out process. Date of experience: May 16, 2025"
CBCharmaine BridgemanUS•1 review,6 hours ago,0,"There is no live chat to get any…There is no live chat to get any problems u have solved or there is no longer an email where you can voice your concerns. Date of experience: August 12, 2025"
FNFashion NovaUS•1 review,7 hours ago,0,"Great brand i love ordering from here!Great brand i love ordering from here! Date of experience: August 12, 2025"
JJJostin JrUS•1 review,7 hours ago,0,"easy paymentDate of experience: August 12, 2025"
KSKorto ScottUS•1 review,7 hours ago,0,"EasyEasy. Checkout and great reviews Date of experience: August 12, 2025"
FAFrancesca adjoUS•3 reviews,7 hours ago,0,"Nice and goodNice and good Date of experience: August 12, 2025"
FNFashion NovaUS•1 review,7 hours ago,0,"great,just a little glitchyDate of experience: August 12, 2025"
KKKay kayUS•1 review,7 hours ago,0,"Love fashion nova fast shipping!Love fashion nova fast shipping!! Very teaaa!Date of experience: August 12, 2025"
LVLakisha VinsonUS•2 reviews,7 hours ago,0,"I just love your clothesDate of experience: August 12, 2025"
fawzi alnazerUS•4 reviews,8 hours ago,0,"Smooth and professionalSmooth and professional Date of experience: August 11, 2025"
KPKassandra PeraltaUS•1 review,8 hours ago,0,"Great deals and products Great dealsDate of experience: July 01, 2025"
FEFeronicaUS•1 review,8 hours ago,0,"I luv it the great deal and shipping is…I luv it the great deal and shipping is easy Date of experience: August 11, 2025"
OPOlivia PopanUS•1 review,8 hours ago,0,"Great qualityGreat quality Date of experience: August 12, 2025"
ARAshley ReneeUS•2 reviews,8 hours ago,0,"Easy to shop and orderEasy to shop and order Date of experience: August 11, 2025"
JWJayden walkerUS•1 review,8 hours ago,0,"Love it good pricing and on point…Love it good pricing and on point delivery Date of experience: August 01, 2025"
ABAnya BollerUS•2 reviews,8 hours ago,0,"I like how fast it comes and how I can…I like how fast it comes and how I can shop for nice things on line what I don't like how my order came In double and I couldn't  return some thing it was I guess said I couldn't now I have stuff I can't use two of the sameDate of experience: August 08, 2025"
FNFashion Nova Keasha WallaceUS•1 review,9 hours ago,0,"Fashion Nova clothes are greatI have belong shopping with Fashion Nova for about a year and their jeans and all of their clothing are great qualityDate of experience: July 09, 2025"
RWROSALYN WOODARDUS•2 reviews,9 hours ago,0,"Quality. Need better material Date of experience: August 06, 2025"
SCShanoya ChambersUS•1 review,9 hours ago,0,"Love love shopping here!Date of experience: August 11, 2025"
RWRenee WeberUS•1 review,9 hours ago,0,"Nice quality clothing I’ve been a…Nice quality clothing I’ve been a customer for over 3 years Fashion Niva is my go to when shopping for unique good quality items Date of experience: July 03, 2025"
KWKarina WilsonUS•1 review,9 hours ago,0,"My style clothes & apps easy to useThe app is for the most part easy to use & quickly order from. I like ya’ll for ya’ll’s more risky clothing & costumes & the sizing works out for me most of the time in my body type.Date of experience: July 02, 2025"
JCJennifer CastellanosUS•1 review,10 hours ago,0,"Love FashionNova my fav shop everrr🫠Love Fashion Nova my fav shop everrr🫠Date of experience: August 05, 2025"
KTKYLA TOLLIVERUS•2 reviews,10 hours ago,0,"Great experience so far!Date of experience: August 11, 2025"
MIMimiUS•2 reviews,10 hours ago,0,"Love everything about fashion nova!!!Date of experience: August 05, 2025"
BOBossLadyPUS•5 reviews,11 hours ago,0,"Easy purchase and easy returnsEasy purchase and easy returns. Only issue is paying twice for shipping. Date of experience: August 11, 2025"
DFDaysi ForbesUS•1 review,11 hours ago,0,"NiceNice, enjoy it alotDate of experience: August 11, 2025"
QUQueenUS•1 review,12 hours ago,0,"ShopProfessional Date of experience: August 11, 2025"
JOJordelineUS•1 review,12 hours ago,0,"Greet I love fashion nova Greet I love fashion novaDate of experience: August 11, 2025"
TSTina SkeltonUS•2 reviews,12 hours ago,0,"I love shopping with fashion nova it’s…I love shopping with fashion nova it’s the best hands downDate of experience: August 11, 2025"
FNFashion NovaMZ•1 review,12 hours ago,0,"So far so goodDate of experience: August 11, 2025"
NC🦋Nikala Chevalier🦋AG•1 review,12 hours ago,0,"Great quality and great serviceGreat quality and great service Date of experience: August 11, 2025"
JTJeaniqua telfortUS•1 review,12 hours ago,0,"Quality!This my second time ordering off this site and The quality of the clothes so chef kiss.Date of experience: August 11, 2025"
JSjayla smithUS•1 review,13 hours ago,0,"GreatGreat! Love the appDate of experience: August 11, 2025"
FNFashion NovaUS•1 review,13 hours ago,0,"Love them this is not my first time…Love them this is not my first time ordering Date of experience: August 11, 2025"
